# CIV.EXE — discovered functions (1142 total)
# fields: addr  seg  name  body_size  param_count  source

1028:09ef       1028    FUN_1028_09ef                                        164    2  DEFAULT
1028:0a93       1028    FUN_1028_0a93                                       1313    0  DEFAULT
1028:0fb4       1028    FUN_1028_0fb4                                        786    0  DEFAULT
1028:12c6       1028    FUN_1028_12c6                                        870    1  DEFAULT
1028:162c       1028    FUN_1028_162c                                       1187    1  DEFAULT
1028:1acf       1028    FUN_1028_1acf                                         46    2  DEFAULT
1028:1afd       1028    FUN_1028_1afd                                        426    1  DEFAULT
1028:1ca7       1028    FUN_1028_1ca7                                        110    5  DEFAULT
1028:1d15       1028    FUN_1028_1d15                                        230    5  DEFAULT
1028:1dfb       1028    FUN_1028_1dfb                                        177    6  DEFAULT
1030:0000       1030    FUN_1030_0000                                      31178    2  DEFAULT
1030:79ce       1030    FUN_1030_79ce                                        602    3  DEFAULT
1030:7c28       1030    FUN_1030_7c28                                        559    3  DEFAULT
1030:7e57       1030    FUN_1030_7e57                                        119    2  DEFAULT
1030:7ece       1030    FUN_1030_7ece                                         80    1  DEFAULT
1030:7f1e       1030    FUN_1030_7f1e                                         71    2  DEFAULT
1030:7f65       1030    FUN_1030_7f65                                         92    2  DEFAULT
1030:7fc1       1030    FUN_1030_7fc1                                         61    1  DEFAULT
1030:7ffe       1030    FUN_1030_7ffe                                         46    1  DEFAULT
1030:802c       1030    FUN_1030_802c                                        338    2  DEFAULT
1030:817e       1030    FUN_1030_817e                                        398    5  DEFAULT
1030:830c       1030    FUN_1030_830c                                        434    5  DEFAULT
1030:84be       1030    FUN_1030_84be                                        107    3  DEFAULT
1030:8529       1030    FUN_1030_8529                                         93    3  DEFAULT
1030:8586       1030    FUN_1030_8586                                        705    0  DEFAULT
1030:8847       1030    FUN_1030_8847                                        227    3  DEFAULT
1030:892a       1030    FUN_1030_892a                                         50    0  DEFAULT
1030:895c       1030    FUN_1030_895c                                        260    4  DEFAULT
1030:8a60       1030    FUN_1030_8a60                                        217    4  DEFAULT
1030:8b39       1030    FUN_1030_8b39                                        216    2  DEFAULT
1030:8c11       1030    FUN_1030_8c11                                        290    7  DEFAULT
1030:8d33       1030    FUN_1030_8d33                                        730    4  DEFAULT
1030:900d       1030    FUN_1030_900d                                         84    2  DEFAULT
1030:9061       1030    FUN_1030_9061                                         71    2  DEFAULT
1030:90a8       1030    FUN_1030_90a8                                        347    3  DEFAULT
1030:9203       1030    FUN_1030_9203                                         88    0  DEFAULT
1030:925b       1030    FUN_1030_925b                                        497    3  DEFAULT
1030:944c       1030    FUN_1030_944c                                        110    5  DEFAULT
1030:94ba       1030    FUN_1030_94ba                                         24    1  DEFAULT
1030:94d2       1030    FUN_1030_94d2                                        182    1  DEFAULT
1030:9588       1030    FUN_1030_9588                                         16    0  DEFAULT
1030:9598       1030    FUN_1030_9598                                         16    0  DEFAULT
1030:95a8       1030    FUN_1030_95a8                                         26    1  DEFAULT
1030:95c2       1030    FUN_1030_95c2                                        235    1  DEFAULT
1030:96ad       1030    FUN_1030_96ad                                        386    7  DEFAULT
1030:982f       1030    FUN_1030_982f                                        230    5  DEFAULT
1030:9915       1030    FUN_1030_9915                                         54    2  DEFAULT
1030:994b       1030    FUN_1030_994b                                        418    6  DEFAULT
1030:9aed       1030    FUN_1030_9aed                                        290    2  DEFAULT
1038:0000       1038    FUN_1038_0000                                       2109    3  DEFAULT
1038:083d       1038    FUN_1038_083d                                        196    1  DEFAULT
1038:0901       1038    FUN_1038_0901                                        185    1  DEFAULT
1038:09bc       1038    FUN_1038_09bc                                        510    2  DEFAULT
1038:0bba       1038    FUN_1038_0bba                                         99    1  DEFAULT
1038:0c1d       1038    FUN_1038_0c1d                                        236    0  DEFAULT
1038:0d09       1038    FUN_1038_0d09                                        884    3  DEFAULT
1040:0000       1040    FUN_1040_0000                                       1678    4  DEFAULT
1040:068e       1040    FUN_1040_068e                                       2709    1  DEFAULT
1040:1137       1040    FUN_1040_1137                                       2586    2  DEFAULT
1040:1b51       1040    FUN_1040_1b51                                        104    1  DEFAULT
1048:0000       1048    FUN_1048_0000                                        257    0  DEFAULT
1048:0101       1048    FUN_1048_0101                                        204    3  DEFAULT
1048:01cd       1048    FUN_1048_01cd                                         62    1  DEFAULT
1050:0000       1050    FUN_1050_0000                                       4355    5  DEFAULT
1050:1105       1050    FUN_1050_1105                                        168    3  DEFAULT
1050:11ad       1050    FUN_1050_11ad                                        273    2  DEFAULT
1050:12be       1050    FUN_1050_12be                                        241    1  DEFAULT
1050:13af       1050    FUN_1050_13af                                        475    3  DEFAULT
1050:158a       1050    FUN_1050_158a                                        240    2  DEFAULT
1058:0440       1058    FUN_1058_0440                                         91    1  DEFAULT
1058:049b       1058    FUN_1058_049b                                         91    1  DEFAULT
1058:04f6       1058    FUN_1058_04f6                                        437    2  DEFAULT
1058:06ab       1058    RANDOMRADIOPROC                                       79    4  IMPORTED
1058:081a       1058    RANDOMSTATICPROC                                     263    4  IMPORTED
1058:0921       1058    RANDOMUSERPROC                                       213    4  IMPORTED
1058:09f6       1058    REGIONPROC                                            79    4  IMPORTED
1058:0b4d       1058    FUN_1058_0b4d                                        548    0  DEFAULT
1058:0d71       1058    FUN_1058_0d71                                        270    0  DEFAULT
1058:0e7f       1058    FUN_1058_0e7f                                         81    4  DEFAULT
1060:0000       1060    FUN_1060_0000                                         91    1  DEFAULT
1060:005b       1060    FUN_1060_005b                                        118    4  DEFAULT
1060:00d1       1060    FUN_1060_00d1                                        240    6  DEFAULT
1060:01c1       1060    FUN_1060_01c1                                       1699    0  DEFAULT
